MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
8.3252,41.0,6.9841,1.0238,322.0,2.5555,37.88,-122.23,4.526
8.3014,21.0,6.2381,0.9718,2401.0,2.1098,37.86,-122.22,3.585
7.2574,52.0,8.2881,1.0734,496.0,2.8022,37.85,-122.24,3.521
5.6431,52.0,5.8173,1.0730,558.0,2.5479,37.85,-122.25,3.413
3.8462,52.0,6.2818,1.0810,565.0,2.1814,37.85,-122.25,3.422
4.0368,52.0,4.7616,1.1036,413.0,2.1398,37.85,-122.25,2.697
3.6591,52.0,4.9319,0.9513,1094.0,2.1284,37.84,-122.25,2.992
3.1200,52.0,4.7975,1.0612,1157.0,1.7882,37.84,-122.25,2.414
2.0804,42.0,4.2941,1.1176,1206.0,2.0268,37.84,-122.26,2.267
3.6912,52.0,4.9705,0.9901,1551.0,2.1722,37.84,-122.25,2.611
3.2031,52.0,5.4776,1.0796,910.0,2.2636,37.85,-122.26,2.815
3.2705,52.0,4.7724,1.0245,1504.0,2.0490,37.85,-122.26,2.418
3.0750,52.0,5.3226,1.0128,1061.0,2.1220,37.85,-122.26,2.135
2.6736,52.0,4.0000,1.0977,1015.0,2.3068,37.84,-122.26,1.913
1.9167,52.0,4.2629,1.0096,1120.0,2.1538,37.85,-122.26,1.592
2.1250,50.0,4.2424,1.0719,697.0,2.6401,37.85,-122.26,1.400
2.7750,52.0,5.9395,1.0483,793.0,2.3957,37.85,-122.27,1.525
2.1202,52.0,4.0528,0.9669,648.0,2.1456,37.85,-122.27,1.555
1.9911,50.0,5.3436,1.0859,990.0,2.1288,37.84,-122.26,1.587
2.6033,52.0,5.4654,1.0835,690.0,2.1722,37.84,-122.27,1.629
